4hed	4head
kankwr	cancer
kap	kappa
kapa	kappa
kayl	kyle
kayu	kyle
keel	kill
kinda	kind of
klappa	kappa
kms	kill myself
kno	know
knos	knows
koran	korean
korans	koreans
kys	kill yourself
laifu	life
lata	later
latu	late
le	the
leeftin	lifting
leftu	left
leg	league of legends
lel	lol
lern	learn
les	let's
lest	last
lev	leave
leze	lazy
liftin	lifting
liftu	lift
lik	like
lil	little
livedd	lived
livin	living
lookin	looking
losded	lost
lota	lot of
loudu	loud
luff	love
lvl	level
lyf	life
lyfu	life
lyk	like
lykd	liked
lyklyk	like
m	am
ma	my
mah	my
mai	my
mak	make
makin	making
me	me,my
meann	mean
mebe	maybe
mebes	maybe
mec	mac
mee	me
meen	mean
meng	man
meself	myself
mien	mine
minutos	minutes
misunderstandin	misunderstanding
mite	might
mk	ok
mkmk	ok
mny	money
moar	more
moit	might
momo	molnar
monies	money
moobi	movie
moobie	movie
moobies?	movies
mooneh	money
mooor	more
morns	morning
n	and
na	no
naa	no
naicu	nice
nam	name
nani	what
nanii	what
nao	now
naoo	now
nd	and
ned	need
neda	need to
needa	need to
neesty	nasty
nek	kill
nephiew	nephew
nic	nice
nicu	nice
nite	night
non	no
nooget	nugget
nooo	no
nop	no
nopert	no
nopnop	no
nops	no
notha	another
nott	not
nt	not
nu	no
nufin	nothing
nunu	no
nutin	nothing
nuu	no
nvm	nevermind
nvr	never
nxt	next
ny	any
nymoar	anymore
nyone	anyone
nythin	anything
nything	anything
o	oh
obar	over
odang	oh dang
ofc	of course
ogod	oh god
ogody	oh god why
omai	oh my
omaiu	oh my
omy	oh my
onry	only
onvm	oh nevermind
ooki	ok
ookii	ok
ookiooki	ok
oon	on
oop	oops
oopert	oops
oot	out
opop	op
ou	or
ova	over
pak	pack
patchin	patching
pepehans	pepehands
persuded	persuaded
phon	phone
pla	play
platu	plat
playin	playing
ples	please
pley	play
pleyed	played
pleyer	player
pleyin	playing
pleys	plays
pls	please
popurar	popular
por	poor
ppl	people
prb	probably
pree	pretty
pret	plat
prob	probably
que	what
r	are
rdy	ready
retardo	retard
retoto	retard
retotot	retarded
ripperino	rip
ripperrino	rip
rite	right
rly	really
rmbr	remember
rn	right now
rndm	random
rnn	right now
rok	ok
roke	ok
rokee	ok
rokree	ok
rona	corona
ronked	ranked
roomate	roommate
ror	lol
runnin	running
sam	same
sao	so
sav	save
scruby	bad
sed	said
ses	says
sey	say
seyin	saying
shaur	sure
sho	sure
shooer	sure
shor	sure
shore	sure
shud	should
singa	sin
skewl	school
skorim	skyrim
slep	sleep
slepo	sleep
smodge	sadge
smol	small
smufen	smurfing
som	some
som1	someone
somtiems	sometimes
spreadin	spreading
stahp	stop
startin	starting
staru	star
steel	still
sterv	starve
stil	still
stirr	still
stoodens	students
stoot	stuart
stromen	streaming
stronk	strong
stuc	stuck
stuf	stuff
stufs	stuff
stut	stuart
suc	suck
sundey	sunday
suprised	surprised
sux	sucks
tak	take
takin	taking
talkin	talking
talku	talk
tas	that's
te	the
tegged	tagged
tel	tell
tem	team
ther	there
thinkin	thinking
thot	thought
thru	through
tiem	time
tiems	times
ting	thing
tink	think
tinkin	thinking
tis	it's
tmrw	tomorrow
toda	today
todey	today
togeta	together
tole	told
toms	tomorrow
tonite	tonight
tooo	too
tot	thought
tri	try
tru	true
truu	true
tryina	trying to
twas	it was
ty	thank you
typa	type of
typin	typing
u	you
ud	you'd
ufet	you're fat
ugey	you're gay
ugo	yugo
ukno	you know
ukon	yukon
ull	you'll
unno	don't know
uno	one
ur	your
urmams	your mom's
urs	yours
urself	yourself
utub	youtube
uwot	you what
v	very
vhy	why
voicu	voice
voiku	voice
voikuu	voice
wa	wow
waa	wow
waiti	wait
waitin	waiting
waitu	wait
waituu	wait
walkin	walking
wan	when,want
wat	what
watcheen	watching
watchin	watching
wats	what's
wazt	what
wb	welcome back
weefee	wifi
wel	well
wen	when
wenn	when
wer	were
werr	well
wew	wow
whe	who
wif	with
wifoot	without
wifout	without
wirr	will
wite	white
wok	work
wonn	won
worku	work
wot	what
wud	would
wudda	would've
wurf	worth
wuz	was
xcept	except
y	why
yaa	yes
yas	yes
ye	yeah
yea	yeah
yee	yeah
yeye	yeah
yezzir	yes sir
yr	year
yrs	years
ysterday	yesterday
ysterdey	yesterday
yt	yet
yunger	younger
yus	yes
