4hed	4head
ima	i'm going to
inded	indeed
innocentt	innocent
innocnt	innocent
intranet	internet
iocri	i cry
is	is,am,are,it's
iunno	i don't know
ive	i've
iz	is,am,are,i'm
ja	yes
jaa	yeah
jacki	jacqueline
jackie	jacqueline
jaja	haha
jajaja	hahaha
jaki	jacqueline
jan	jonny
jeck	jacky
jek	jacqueline
juego	play
jus	just
kancer	cancer
kanker	cancer
kankerous	cancerous
kankwr	cancer
kap	kappa
kapa	kappa
kayl	kyle
kayu	kyle
keel	kill
kekd	kekd
kinda	kind of
klappa	kappa
kms	kill myself
kno	know
knos	knows
koran	korean
korans	koreans
kys	kill yourself
laifu	life
lata	later
latu	late
le	the
leeftin	lifting
leftu	left
leg	league of legends
lel	lol
lern	learn
les	let's
lest	last
lev	leave
leze	lazy
liftin	lifting
liftu	lift
lik	like
lil	little
livedd	lived
livin	living
lookin	looking
losded	lost
lota	lot of
loudu	loud
luff	love
lvl	level
lyf	life
lyfu	life
lyk	like
lykd	liked
lyklyk	like
m	am,m
ma	my
mah	my
mai	my
mak	make
makin	making
me	me,my,i
meann	mean
mebe	maybe
mebes	maybe
mec	mac
mee	me
meen	mean
meng	man
meself	myself
mien	mine
minutos	minutes
misunderstandin	misunderstanding
mite	might
mitu	might
mk	ok
mkmk	ok
mm	um
moar	more
moit	might
momo	molnar
monies	money
moobi	movie
moobie	movie
moobies	movies
mooneh	money
mooor	more
morns	morning
murica	america
murican	american
n	and
na	no
naa	no
naicu	nice
nam	name
nani	what
nanii	what
nao	now
naoo	now
nd	and
ned	need
neda	need to
needa	need to
neesty	nasty
nek	kill
nephiew	nephew
nic	nice
nicu	nice
nite	night
non	no
noods	noodles
noodz	noodles
nooget	nugget
nooo	no
nop	no
nopert	no
nopnop	no
nops	no
notha	another
nott	not
nt	not
nu	no
nufin	nothing
nunu	no
nutin	nothing
nuu	no
nvm	nevermind
nvr	never
nxt	next
ny	any,new york
nymoar	anymore
nyone	anyone
nythin	anything
nything	anything
nytin	anything
o	oh,of
obar	over
odang	oh dang
ofc	of course
ogod	oh god
ogody	oh god why
omai	oh my
omaiu	oh my
omy	oh my
onry	only
onvm	oh nevermind
ooki	ok
ookii	ok
ookiooki	ok
oon	on
oop	oops
oopert	oops
oot	out
opop	op
orip	oh rip
ou	or
ova	over
pak	pack
patchin	patching
pepehans	pepehands
persuded	persuaded
phon	phone
pla	play
platu	plat
playin	playing
ples	please
pley	play
pleyed	played
pleyer	player
pleyin	playing
pleys	plays
pls	please
popurar	popular
por	poor
ppl	people
prb	probably
pree	pretty
pret	plat
prob	probably
que	what
r	are
raisin	raising
raizen	raising
raizin	raising
rc	richmond centre
rdy	ready
retardo	retard
retoto	retard
retotot	retarded
ridu	ride
ripperino	rip
ripperrino	rip
rite	right
rly	really
rmbr	remember
rn	right now
rndm	random
rnn	right now
rok	ok
roke	ok
rokee	ok
roker	ok
rokers	ok
rokert	ok
rokert	ok
rokree	ok
rona	corona
ronked	ranked
roomate	roommate
ror	lol
runnin	running
sam	same
sao	so
sav	save
sched	schedule
scruby	bad
sed	said
ses	says
sey	say
seyin	saying
shaur	sure
sho	sure
shooer	sure
shor	sure
shore	sure
shud	should
singa	sin
skewl	school
skorim	skyrim
slep	sleep
slepo	sleep
smodge	sadge
smog	sadge
smol	small
smufen	smurfing
som	some
som1	someone
somtiems	sometimes
spreadin	spreading
stahp	stop
startin	starting
staru	star
steel	still
sterv	starve
stil	still
stirr	still
stoodens	students
stoot	stuart
stromen	streaming
stronk	strong
stuc	stuck
stuf	stuff
stufs	stuff
stut	stuart
suc	suck
sundey	sunday
suprised	surprised
sux	sucks
tak	take
takin	taking
talkin	talking
talku	talk
tas	that's
te	the
teeft	tft
tegged	tagged
tel	tell
tem	team
ther	there
thinkin	thinking
thot	thought
thru	through
tiem	time
tiems	times
ting	thing
tings	things
tink	think
tinkin	thinking
tis	it's
tmrw	tomorrow
toda	today
todey	today
togeta	together
tole	told
toms	tomorrow
tonite	tonight
tooo	too
tot	thought
tri	try
tru	true
truu	true
tryina	trying to
twas	it was
ty	thank you
typa	type of
typin	typing
u	you,you're,your
ud	you'd
ufet	you're fat
ugey	you're gay
ugo	yugo
ukno	you know
ukon	yukon
ull	you'll
unno	don't know
uno	one
untilt	untilt
ur	your,you're
urmams	your mom's
urs	yours
urself	yourself
utub	youtube
uwot	you what
v	very,v
vhy	why
vill	will
voicu	voice
voiku	voice
voikuu	voice
wa	wow
waa	wow
wada	what the
wah	wow
waiti	wait
waitin	waiting
waitu	wait
waituu	wait
walkin	walking
wan	when,want
wat	what
watcheen	watching
watchin	watching
wateva	whatever
wats	what's
wazt	what
wb	welcome back
weefee	wifi
wel	well
wen	when
wenn	when
wer	were
werr	well
wew	wow
whe	who
wif	with
wifoot	without
wifout	without
wirr	will
wite	white
wok	work
wonn	won
worku	work
wot	what
wud	would
wudda	would've
wurf	worth
wuz	was
xcept	except
xmas	christmas
y	why
ya	you,yes
yaa	yes
yas	yes
ye	yeah
yea	yeah
yee	yeah
yeye	yeah
yezir	yessir
yr	year
yrs	years
ysterday	yesterday
ysterdey	yesterday
yt	yet
yunger	younger
yus	yes
